,title,text,class
87,Американцев экстренно предупредили о нападении зомби и обесточили,"Жителям города Лейк Уорт (штат Флорида, США) разослали экстренное предупреждение о зомби-апокалипсисе. Инцидент произошел во время отключения электроэнергии. По утверждению властей, при подобных инцидентах автоматически начинается автоматическая рассылка уведомлений, но в этот раз кто-то изменил текст сообщения.",Из жизни
88,Создателей реалити-шоу обругали за слишком сексуальную сцену в душе,"Зрители реалити-шоу «Золотая молодежь Челси» (Made in Chelsea) пришли в недоумение после сцены в душе, где у участников Сэма Томпсона и Софи Хэббу якобы случился секс. Они упрекнули создателей в демонстрации порнографии, отметив, что без этого эпизода вполне можно было обойтись.",Интернет и СМИ
89,Определен облик российской АПЛ пятого поколения «Хаски»,"Концептуальное проектирование АПЛ (атомной подлодки) пятого поколения «Хаски» завершено, сообщил «Известиям» глава ОСК (Объединенной судостроительной корпорации) Алексей Рахманов. «Сейчас ведется разработка тактико-технических характеристик новой лодки. Остальное про ""Хаски"" — пока военная тайна», — сказал он.",Наука и техника
90,Назван самый популярный спортсмен мира,"Нападающий мадридского «Реала» Криштиану Роналду назван самым популярным спортсменом мира по итогам исследования, проведенного ESPN. Второе место занял баскетболист Леброн Джеймс («Кливленд Кавальерс»), третье — футболист «Барселоны» Лионель Месси, четвертое — футболист ПСЖ Неймар, пятое — теннисист Роджер Федерер.",Спорт
91,Автор доклада о бесполезности «Газпрома» лишился работы,"Sberbank CIB принял решение уволить нефтегазового аналитика Александра Фэка за отчет о неэффективном менеджменте «Газпрома». Об этом заявил сам Фэк и подтвердил инвестбанк, сославшись на нормы и внутренние правила компании, требующей соблюдения жестких процедур комплаенса.",Экономика
92,В Москве задержали состоявшего в украинской банде бывшего мэра Ялты,"В Москве оперативники МВД задержали бывшего мэра Ялты Андрея Ростенко. Как рассказал «Ленте.ру» источник в правоохранительных органах, это было сделано в рамках ранее возбужденного уголовного дела о злоупотреблении должностными полномочиями. В настоящий момент решается вопрос о предъявлении ему обвинения.",Силовые структуры
93,Власти озаботились ценами на бензин,Правительство России поручило Минфину проработать вопрос о снижении акцизов на автомобильное топливо. В ходе совещания у вице-премьера Дмитрия Козака было принято решение о снижении акцизов для бензина на три тысячи рублей за тонну и две тысячи — для дизельного топлива.,Экономика
94,Правозащитники призвали к бойкоту чемпионата мира в России,"Правозащитная организация Human Rights Watch призвала к политическому бойкоту матча-открытия чемпионата мира по футболу в России. Исполнительный директор организации Кеннет Рот заявил, что мировые лидеры не должны сидеть вместе с Владимиром Путиным в ВИП-ложах стадиона.",Спорт
95,Венесуэла выгнала старшего дипломата США,"Вновь избранный президент Венесуэлы Николас Мадуро объявил персоной нон грата временного поверенного в делах США Тодда Робинсона. Дипломата подозревают в подготовке заговора против правительства, ему предписано покинуть латиноамериканскую страну в течение 48 часов.",Мир
96,Мужчина перебрал с наркотиками и очутился в ванне картофеля в женском белье,"В британском городе Истли осудили мужчину в лифчике, который сидел в ванне с картофелем. Сотрудники гостиницы почувствовали запах конопли из его номера и вызвали полицию. Как выяснилось, он приехал в родной город с парой друзей. Они планировали провести там один вечер, но увлеклись и пять дней употребляли наркотики.",Из жизни
97,Экстремальный полет C-130 Hercules попал на видео,"Экстремально низкий полет Lockheed C-130 Hercules попал на видео. В ролике, снятом, предположительно, на Аравийском полуострове в середине мая 2018 года, заметно, как военный транспортный самолет Королевских военно-воздушных сил Саудовской Аравии пролетает практически над головой находящегося на земле человека.",Наука и техника
98,Писательница подвигла женщин порассуждать о мужской агрессии,"Шотландская писательница Элизабет Мэй запустила в сети тред, где девушки могли поделиться историями о назойливых и пугающих приставаниях мужчин. Флешмоб собрал несколько тысяч печальных рассказов. Чаще всего девушки делились историями о том, как мужчины принимали их дружелюбие за романтический интерес.",Интернет и СМИ
99,Российская подлодка впервые запустила четыре «Булавы» одним залпом,"Атомный подводный крейсер «Юрий Долгорукий» произвел успешный залповый пуск четырех баллистических ракет «Булава» из акватории Белого моря, сообщает «Интерфакс» со ссылкой на пресс-службу Северного флота России. «Стрельба была выполнена из подводного положения. Задачи пуска выполнены», — подчеркнули в пресс-службе.",Наука и техника
100,Автобус в ДНР подорвал восьмиклассник с гранатой,"Взорвавшаяся в пассажирском автобусе в городе Дебальцево граната находилась в рюкзаке одного из школьников. Представители Донецкой народной республики отметили, что подростки ехали домой из школы. В результате взрыва погиб 14-летний подросток, в чьей сумке и лежала граната.",Бывший СССР
101,Российские банки захотели оставить без Брюса Уиллиса,"Банк России обдумает предложение одного из депутатов Госдумы законодательно запретить кредитным учреждениям использовать знаменитостей в рекламе собственных услуг. Такую рекламу, в частности, выпускали «Траст» и «Советский», которые привлекали к съемкам актеров Брюса Уиллиса и Жерара Депардье.",Экономика
102,Сотни украинских футболистов и функционеров поймали на договорных матчах,"Украинская полиция объявила, что около 30 из 52 украинских профессиональных футбольных клубов участвовали в договорных матчах. «В состав ОПГ входили президенты клубов, бывшие и действующие игроки, арбитры, тренеры, околофутбольные коммерческие структуры», — заявил глава МВД Украины Арсен Аваков.",Спорт
103,В Минкомсвязи отреагировали на жалобы из-за блокировки Telegram,"В Минкомсвязи отреагировали на многочисленные обращения пользователей интернета, просивших оценить правомерность действий Роскомнадзора для блокировки мессенджера Telegram. В министерстве считают, что регулятор действует в полном соответствии с законом, исполняя  вступившее в законную силу судебное решение.",Экономика
104,В больнице Екатеринбурга потолок не дождался ремонта и рухнул,"Посреди рабочего дня в городской поликлинике №3 в Екатеринбурге обрушился потолок. Потолочными плитами и перекрытиями был покрыт весь пол коридора. Никто не пострадал. В местном горздраве сообщили, что через месяц в учреждении должен начаться ремонт и потолочные плиты просто «чуть-чуть не додержались».",Россия
105,Чечня пригорюнилась из-за ухода Lada Priora в прошлое,"Председатель Союза чеченской молодежи Рустам Тапаев выразил сожаление из-за грядущего прекращения производства автомобиля Lada Priora. «Соотношение цены и качества было достаточно интересным для покупателя. Еще один большой плюс этих автомобилей заключался в том, что ремонтное обслуживание у него легкое», — сказал он.",Россия
106,В США раскрыта секта многоженцев-насильников,"Окружной суд американского штата Юта приговорил к пожизненному заключению члена секты многоженцев за сексуальное насилие над детьми. Сэм Шэффер признан виновным в одном эпизоде изнасилования и одном эпизоде сексуального насилия над ребенком. «Вы приговариваетесь не за ваши религиозные убеждения», — пояснил судья.",Мир
107,Гордая мать скопировала огромную родинку сына на собственное лицо,"Жительница бразильского города Касерес попросила нарисовать на своем лице такую же огромную родинку, как у ее сына. «Кое-кто глядел на меня с множеством разных выражений, но я была совершенно спокойна, потому что чувствовала себя матерью, которая гордится своим ребенком больше всех на свете», — утверждает она.",Из жизни
108,Украина впервые испытала американские Javelin,"Вооруженные силы Украины впервые испытали американские противотанковые ракетные комплексы Javelin. «Наконец этот день настал! Впервые в Украине состоялись испытания комплекса Javelin», — написал президент Украины Петр Порошенко. По его словам, благодаря Javelin боевые возможности ВСУ значительно возросли.",Бывший СССР
109,Дзюба преподаст урок призывавшим к третьей мировой войне британским фанатам,"Нападающий сборной России Артем Дзюба прокомментировал призывы британского фаната к третьей мировой войне на чемпионате мира в России. «Думаю, этот человек не приедет сюда. Это крик с дивана. (...) А если захотят грубости, то в нашей стране умеют преподать урок», — сказал футболист.",Спорт
110,Пожаловавшаяся Путину на российскую медицину девушка умерла от рака,"Жительница Апатитов 25-летняя Дарья Старикова, которая в июне прошлого года пожаловалась президенту Владимиру Путину на некачественную медицину, умерла от рака. Девушка скончалась в одной из московских клиник. В конце декабря Старикову прооперировали. Сообщалось, что ее опухоль полностью удалена и пациентке лучше.",Россия
111,Мошенники в сети прикинулись приличным банком и просчитались,"Специалист по кибербезопасности обнаружил в своем электронном ящике фишинговое письмо. В одном из его разделов содержался список имен, с которыми адресату не следует контактировать — они названы мошенниками. Перечень из нескольких имен приведен в качестве «доказательства» чистоты намерений преступников.",Интернет и СМИ
112,Сбербанк объявил очереди «великой ценностью»,"Сбербанк намерен продолжить сочетать обслуживание клиентов онлайн и офлайн, не отказываясь полностью от отделений, потому что «очереди в банке — это великая ценность». Такое мнение высказал первый зампред правления госбанка Максим Полетаев, который отмечает необходимость баланса.",Экономика
113,Яйца оказались средством от преждевременной смерти,"Китайские ученые выяснили, что употребление одного яйца в день значительно снижает риск сердечно-сосудистых заболеваний и преждевременной смерти. К такому выводу исследователи пришли на основе результатов долговременного исследования с участием нескольких сотен добровольцев.",Наука и техника
114,Полицейский снял на видео обед коллег в грязном дворе и лишился работы,"Автор видео с раздачей в грязном дворе сухого пайка полицейским в Волгограде будет уволен из органов, остальных участников ролика будут воспитывать дисциплиной. На кадрах показано, как на улице сотрудникам МВД выдают пакеты с едой, которая была ледяной и несъедобной. Один из собравшихся выкинул обед, другие матерились.",Россия
115,Подсчитан размер средней зарплаты в России,"По данным Росстата, реальные располагаемые доходы россиян в апреле увеличились на 5,7 процента в годовом выражении. В марте реальные доходы выросли на 4,5 процента, в феврале — на 4,2 процента, в январе — снизились на 7,1 процента. Среднемесячная начисленная заработная плата в России в апреле составила 43 550 рублей.",Экономика
116,Болгария попросила спасения от России,"Болгария попросила Евросоюз и НАТО не ослаблять свое влияние на Балканах, чтобы не допустить усиления России и Турции в регионе. По словам министра обороны страны Красимира Каракачанова, политика Болгарии направлена на присоединение всех стран региона к Евросоюзу и НАТО, однако им мешают «третьи факторы».",Мир
117,На Украине нашлась карта с двумя Крымами,"Губернатор Черновицкой области Украины Александр Фищук наградил жителей региона областной премией на фоне баннера с картой страны, включающей в себя два полуострова Крым. Один «экземпляр» полуострова авторы карты изобразили украинским, а второй отнесли к территории Румынии.",Бывший СССР
118,Пьяные туристы подожгли свой отель,"Четверо пьяных англичан игрались с зажигалкой и аэрозолем и случайно подожгли свой отель. Пожар произошел в курортном городе Майорка (Испания) в гостинице BH Mallorca. Огонь полностью уничтожил два номера прежде, чем его успели потушить, однако никто из постояльцев не пострадал.",Путешествия
119,«Роскосмосу» на «Эфир» потребовалось 300 миллиардов,"Реализация российского проекта спутникового интернета «Эфир», который призван конкурировать с системами OneWeb и Starlink, потребует около 300 миллиардов рублей, заявил заместитель гендиректора по стратегическому развитию и инновациям компании РКС («Российские космические системы») Евгений Нестеров.",Наука и техника
120,ФИФА оправдала обвиненных в употреблении допинга футболистов сборной России,"ФИФА закрыла дела всех футболистов из расширенного состава сборной России на чемпионат мира 2018 года. «Проверка образцов, изъятых WADA из московской лаборатории, завершена. Ни в одном из допинг-образцов не было выявлено аномальных отклонений или подмены содержимого», — говорится в заявлении федерации.",Спорт
121,Убийцами многодетной матери из «бандитского единства» занялись на высшем уровне,"Дело о жестоком убийстве на Кубани многодетной матери Натальи Дмитриевой, в котором подозревают компанию подростков, передано в производство главного следственного управления Следственного комитета России (СКР). Ранее жители поселка Псебай потребовали от властей расследовать убийство Дмитриевой.",Силовые структуры
122,Колокольников рассказал об увлечении русских актеров кокаином,"Российский актер Юрий Колокольников дал интервью Юрию Дудю. Журналист спросил артиста о том, какой город, кроме Москвы и Лос-Анджелеса, тот считает лучшим городом Земли. Колокольников ответил, что ему очень понравился Амстердам, после чего Дудь поинтересовался, часто ли актер потребляет марихуану.",Культура
123,Американская учительница пожертвовала почку школьнице,"В американском городе Рейнолдсбург, штат Огайо, учительница пожертвовала почку больной школьнице. 10-летняя Ива Эванс (Eva Evans) с 2017 года страдала от почечной недостаточности. Никто из родственников не мог помочь из-за несовместимости органов. Тогда семья попыталась найти донора через Facebook.",Из жизни
124,В России выявили парадокс взятки,"Более половины россиян верят, что коррупцию можно искоренить, но сами дают и берут взятки, свидетельствуют данные опроса. Свое парадоксальное поведение они объясняют тем, что «приходится брать, люди сами приносят, не хочется никого обидеть». Средний размер взятки составил 23 тысячи рублей.",Россия
125,Названы марки опасного сливочного масла,"Некоммерческая организация «Росконтроль» провела исследование сливочного масла и установила, что из 31 проверенного образца продукты только пяти брендов могут называться маслом высшего сорта. В продукте еще двух марок нашли кишечную палочку — речь идет о масле «Кубанский молочник» и «Том самом масле».",Экономика
126,Госдума добралась до биткоинов,"Госдума в первом чтении одобрила законопроект «О цифровых финансовых активах», согласно которому подобные активы не признаются законным средством платежа в России. Законопроект поддержали 410 депутатов, один проголосовал против. Документ разработан Минфином и внесен в нижнюю палату Федерального собрания 20 марта.",Экономика
127,Британец два года выл вместе с волками и довел соседей,"Живущий с собственной стаей волков британец был вынужден переехать после многочисленных жалоб соседей. Он жил с женой в городке Ком Мартин, графство Девон, вместе с несколькими волками, которых он нашел и самолично выкормил. Теперь мужчине приходится жить на отдаленной ферме в графстве Корнуолл и содержать волкособов.",Из жизни
128,Украина арестовала российское судно,Украина наложила арест на российское судно «Печора» из Крыма. Его обвиняют в незаконной добыче песка. Прокуратура оценила причиненный государству ущерб в 590 миллионов рублей. Владелец судна все обвинения отрицает. Месяц назад в рамках этого дела арестовали еще одно судно — Seabreeze.,Бывший СССР
129,Милонов «чудом» защитился от содомитов,"Депутат Госдумы Виталий Милонов рассказал, что обнаружил на двери своего кабинета табличку с надписью «Содомитам вход запрещен». «Эта же табличка защищает от поклонников Содома. Она материализовалась, значит. Мы стали свидетелями чуда. Она невидимой дугой защищает нас от радуги», — сказал парламентарий.",Россия
130,В МЧС нашелся миллиардер,"Министерство по делам гражданской обороны и чрезвычайным ситуациям отчиталось о доходах сотрудников и членов их семей по итогам 2017 года. Самым богатым сотрудником стал начальник Главного управления МЧС России по Ставропольскому краю Александр Иваницкий, заработавший за прошлый год более 2,5 миллиарда рублей.",Экономика
131,Путина попросили проверить массовые блокировки Роскомнадзора,Интернет-омбудсмен Дмитрий Мариничев предложил проверить действия Роскомнадзора при массовых блокировках. Контролером ущерба от ограничений доступа должна выступить Генпрокуратура. Инициатива внесена в доклад «Книга жалоб и предложений российского бизнеса» бизнес-омбудсмена Бориса Титова.,Интернет и СМИ
132,Японцы массово разделись и показали татуировки в стиле якудза,"Японцы, покрытые татуировками в стиле якудза, прошлись по улицам Токио в нижнем белье во время празднования крупнейшего в городе фестиваля Сандзя-мацури. Такими татуировками члены группировки обычно забивают все тело, оставляя нетронутыми только голову, шею, кисти рук и ступни.",Ценности
133,Россию «уличили» во вмешательстве в дела еще одной страны,"Россия вмешивалась в политический кризис в испанской Каталонии осенью 2017 года, когда в регионе проходил референдум о независимости, сообщила испанская разведка. Ее специалистам «кажется доказанным, что активистов, которые освещали в СМИ события октября прошлого года, поддерживали российские институты».",Мир
134,В ДНР возобновились бои,В районе Горловки второй день продолжаются бои в между ополченцами ДНР и украинскими военными. С обеих сторон есть убитые и раненые. Активизацию конфликта связывают с попыткой украинских военных занять стратегические высоты вокруг Горловки для разворачивания дальнейшего наступления на Донецк.,Бывший СССР
135,BIOCAD позвал самого известного футуролога на главный экономический форум страны,"Профессор Нью-Йоркского университета и самый известный футуролог в мире Митио Каку выступит на Петербургском международном экономическом форуме на пленарной сессии биотехнологической компании BIOCAD, которая состоится 25 мая 2018 года. Об этом говорится в сообщении компании.",Экономика
136,Киев устранит упоминания «Газпрома» перед финалом Лиги чемпионов,"Киевские власти демонтировали баннеры с логотипом российской госкорпорации «Газпром» в преддверии финала Лиги чемпионов. Они договорились с Союзом европейских футбольных ассоциаций о демонтаже рекламы с упоминанием компании, которая является спонсором Лиги чемпионов. В настоящий момент печатается новое оформление.",Спорт
137,В подмосковные больницы привлекут врачей со знанием английского,"Врачи со знанием английского языка будут работать в десяти медицинских учреждениях Подмосковья в период чемпионата мира по футболу, сообщил министр здравоохранения Московской области Дмитрий Марков. «Если их будет не хватать, мы будем привлекать волонтеров, которые смогут перевести», — отметил он.",Россия
138,Россиянка стала майором полиции в 100 лет,"В Тюмени ветерану Великой Отечественной войны и Госавтоинспекции к 100-летнему юбилею присвоили звание майора. Об этом во вторник, 22 мая, сообщается на сайте регионального главка МВД. Как говорится в сообщении, именинницу Елену Ковязину поздравляли с музыкой: во дворе ее дома выступал дуэт «Полицейская академия».",Силовые структуры
139,Мисс США впервые за много лет стала блондинка,"Ежегодный конкурс красоты «Мисс США» выиграла 23-летняя Сара Роуз Саммерс из штата Небраска. Саммерс работает в отделении педиатрии, где объясняет детям и их родителям их диагнозы, объясняет, зачем нужны разнообразные процедуры и оказывает психологическую поддержку. Также она ведет занятия по пилатесу.",Из жизни
140,В ДНР подорвали пассажирский автобус,"В городе Дебальцево, находящемся под контролем самопровозглашенной Донецкой народной республики (ДНР), взорвался рейсовый автобус, сообщил руководитель представительства ДНР в Совместном центре по контролю и координации режима прекращения огня Руслан Якубов. Один человек погиб.",Бывший СССР
141,Google уличили в шпионаже за миллионами владельцев iPhone,"Суд в Великобритании рассмотрит коллективный иск к Google, в котором 4,4 миллиона пользователей iPhone обвинили компанию в шпионаже и сборе личной информации. Адвокат Ричард Ллойд утверждает, что Google обходила настройки безопасности браузера Safari от Apple, и требует выплаты 3,2 миллиарда фунтов стерлингов.",Интернет и СМИ
142,Россия объединилась с Японией против США,"Россия и Япония предупредили, что могут нанести ответный удар по американским тарифам на сталь и алюминий, наложив санкции на сумму миллиард долларов. РФ сообщила, что в результате действий США сумма уплачиваемых Москвой импортных пошлин вырастет на 538 миллионов долларов в год, Япония назвала сумму в 440 миллионов.",Экономика
143,Помаду «Оргазм» смели за сутки,"Американский бренд-производитель косметических средств Nars выпустил помаду под названием «Оргазм», которую покупательницы смели в течение первых 24 часов. Увлажняющий бальзам для губ появился на сайте Sephora с описанием «персиковый розовый с золотым блеском» в понедельник, 21 мая.",Ценности
144,Башмак стал отелем,"В Новой Зеландии появился необычный отель в форме башмака. Гостевой дом построила семейная пара Стив и Джуди Ричардс. Они рассказали, что эта идея родилась за бокалом вина, а строительство гостиницы заняло всего год. «Мы решили, что это отличный способ, чтобы сблизить людей», — поделилась Джуди Ричардс<br />",Путешествия
145,Депутат Верховной Рады решил уничтожить Крымский мост,"Депутат Верховной Рады Украины Игорь Мосийчук планирует разрушить мост через Керченский пролив. «Керченский мост — это вражеская инфраструктура. Почему вражеская? Потому что она соединяет оккупированную территорию с материковой частью страны-агрессора», — сказал парламентарий.",Бывший СССР
146,Певец Евгений Осин разбился на мотоцикле,"Певец Евгений Осин попал в ДТП. Осин разбился на новом мотоцикле, когда ехал в ГИБДД для того, чтобы поставить его на учет. Авария произошла около супермаркета на выезде на Карамышевскую набережную. Исполнитель отделался легкими травмами — мотоцикл придавил ему ногу и сломал палец.",Культура
147,Путин распорядился создать НКО во благо россиян,"Президент России Владимир Путин подписал указ о создании автономной некоммерческой организации «Россия — страна возможностей». Новая организация нужна для «создания условий для повышения социальной мобильности, обеспечения личностной и профессиональной самореализации граждан», говорится в документе.",Россия
148,Дзюба поведал об адских днях,"Нападающий сборной России Артем Дзюба, пропустивший часть тренировочного сбора в Австрии из-за болезни, рассказал о своем самочувствии. Он отметил, что сейчас у него нет температуры, однако в течение 3-4 дней он чувствовал себя как в аду. По словам спортсмена, ему потребуется 2-3 дня на восстановление.",Спорт
149,F-35 впервые применили в бою,"Израиль первым в мире применил истребитель пятого поколения Lockheed Martin F-35 Lightning II в бою, сообщается в Twitter Армии обороны республики. «Мы первыми в мире применили F-35 в боевой обстановке для атаки целей», — сказал главнокомандующий Военно-воздушных сил страны Амикам Норкин.",Наука и техника
150,Подмосковная делегация собралась на ПМЭФ-2018 за инвестициями,"Главной целью участия подмосковного правительства в Петербургском международном экономическом форуме в этом году станет поиск и привлечение в регион новых инвесторов, заявил министр сельского хозяйства и продовольствия Подмосковья Андрей Разин. Мероприятие состоится 24–26 мая.",Россия
151,Бегемоты спасли антилопу гну от крокодилов,"Участник сафари в национальном парке Крюгера в ЮАР снял на видео нападение крокодилов на антилопу гну, в которое вмешались гиппопотамы. Они с интересом наблюдали за происходящей у них под носом схваткой, а когда крокодилы оказывались слишком близко, покусывали их. Это помогло антилопе освободиться.",Из жизни
152,Жителей Сочи оставили без телевидения из-за гирлянд к чемпионату мира по футболу,В Сочи временно приостановлена трансляция телеканалов и радиостанций. Период отключения продлится десять дней — с 21 до 31 мая: в эти дни жители Сочи не смогут посмотреть телевизор или послушать радио с девяти утра до шести часов вечера. В это время специалисты будут устанавливать на местной телебашне светодиоды.,Интернет и СМИ
154,Топ-менеджер наелся мяса редких животных и поплатился,"Вице-президента китайской компании уволили за то, что он съел блюда из редких животных — панголина и циветы. Мужчина поделился снимками яств из отпуска в социальной сети Weibo и через пару дней узнал, что его отстранили от должности. Он заявил, что не знал, что запрет на поедание мяса этих видов действует и вне Китая.",Из жизни
155,Состояние российской экономики назвали катастрофическим,"Большинство российских бизнесменов — 76 процентов — оценивают нынешнее состояние экономики страны как катастрофическое, показал опрос ВЦИОМ. О хорошем состоянии экономики заявили только четыре процента респондентов (три процента в 2017 году). Еще 17 процентов оценили текущее положение как стабильное.",Экономика
